repo,package,release_tag,release_name,release_date_utc,asset_original_name,saved_filename,download_url,content_type,size_bytes
sdex/ActivityManager,sdex_ActivityManager,5.2.0,5.2.0,2022-11-14T08:32:47+00:00,ActivityManager-5.2.0.apk,5.2.0.apk,https://github.com/sdex/ActivityManager/releases/download/5.2.0/ActivityManager-5.2.0.apk,application/vnd.android.package-archive,4128220
sdex/ActivityManager,sdex_ActivityManager,5.1.1,5.1.1,2022-10-23T07:24:57+00:00,ActivityManager-5.1.1.apk,5.1.1.apk,https://github.com/sdex/ActivityManager/releases/download/5.1.1/ActivityManager-5.1.1.apk,application/vnd.android.package-archive,4133726
sdex/ActivityManager,sdex_ActivityManager,5.1.0,5.1.0,2022-10-07T13:19:41+00:00,ActivityManager-5.1.0.apk,5.1.0.apk,https://github.com/sdex/ActivityManager/releases/download/5.1.0/ActivityManager-5.1.0.apk,application/vnd.android.package-archive,4051765
sdex/ActivityManager,sdex_ActivityManager,5.0.0,5.0.0,2022-09-16T06:48:54+00:00,ActivityManager-5.0.0.apk,5.0.0.apk,https://github.com/sdex/ActivityManager/releases/download/5.0.0/ActivityManager-5.0.0.apk,application/vnd.android.package-archive,4054130
sdex/ActivityManager,sdex_ActivityManager,4.2.0,4.2.0,2022-05-10T06:56:58+00:00,ActivityManager-4.2.0.apk,4.2.0.apk,https://github.com/sdex/ActivityManager/releases/download/4.2.0/ActivityManager-4.2.0.apk,application/vnd.android.package-archive,3385676
sdex/ActivityManager,sdex_ActivityManager,4.1.4,4.1.4,2021-12-07T10:24:14+00:00,ActivityManager-4.1.4.apk,4.1.4.apk,https://github.com/sdex/ActivityManager/releases/download/4.1.4/ActivityManager-4.1.4.apk,application/vnd.android.package-archive,3132791
sdex/ActivityManager,sdex_ActivityManager,4.1.3,4.1.3,2021-09-07T06:40:32+00:00,ActivityManager-4.1.3.apk.apk,4.1.3.apk,https://github.com/sdex/ActivityManager/releases/download/4.1.3/ActivityManager-4.1.3.apk.apk,application/vnd.android.package-archive,3096142
sdex/ActivityManager,sdex_ActivityManager,4.1.1,4.1.1,2021-08-25T03:59:56+00:00,ActivityManager-4.1.1.apk,4.1.1.apk,https://github.com/sdex/ActivityManager/releases/download/4.1.1/ActivityManager-4.1.1.apk,application/vnd.android.package-archive,3036636
sdex/ActivityManager,sdex_ActivityManager,4.1.0,4.1.0,2021-08-14T11:42:42+00:00,ActivityManager-4.1.0.apk,4.1.0.apk,https://github.com/sdex/ActivityManager/releases/download/4.1.0/ActivityManager-4.1.0.apk,application/vnd.android.package-archive,3087670
sdex/ActivityManager,sdex_ActivityManager,4.0.0,4.0.0,2021-08-12T08:07:31+00:00,ActivityManager-4.0.0.apk,4.0.0.apk,https://github.com/sdex/ActivityManager/releases/download/4.0.0/ActivityManager-4.0.0.apk,application/vnd.android.package-archive,3121576
