App,Record App,Replay App,Run Count,Mismatch
com.mxt.anitrend,v1_8_1_Ehancements___Bug_fixes_app-release,Bump_version_from_1_9_9_to_1_9_10_app-release,3,Locator Invalidity
com.mxt.anitrend,v1_8_5_Bug_fixes_app-release,Bump_version_from_1_8_13_to_1_9_4_app-release,2,Locator Invalidity
com.mxt.anitrend,v1_8_5_Bug_fixes_app-release,v1_11_5_app-release,2,Locator Invalidity
com.mxt.anitrend,Bump_version_from_1_8_7_to_1_8_8_app-release,v1_11_1_app-release,2,Locator Invalidity
com.mxt.anitrend,v1_8_5_Bug_fixes_app-release,Bump_version_from_1_9_7_to_1_9_8_app-release,3,Widget Occlusion
com.mxt.anitrend,Bump_version_from_1_9_8_to_1_9_9_app-release,v1_11_2_app-release,3,Locator Invalidity
com.mxt.anitrend,Bump_version_from_1_8_7_to_1_8_8_app-release,v1_11_3_app-release,2,Locator Invalidity
com.mxt.anitrend,Bump_version_from_1_8_10_to_1_8_11_app-release,Bump_version_from_1_8_12_to_1_8_13_app-release,3,Locator Invalidity
org.billthefarmer.editor,Version_1_73,Version_1_83,1,Moved to Subpage
org.billthefarmer.editor,Version_1_58,Version_1_82,3,Moved to Subpage
org.billthefarmer.editor,Version_1_55,Version_1_72,3,Locator Invalidity
org.billthefarmer.editor,Version_1_65,Version_1_82,3,Locator Invalidity
org.billthefarmer.editor,Version_1_53,Version_1_86,3,Moved to Subpage
org.billthefarmer.editor,Version_1_65,Version_1_86,1,Locator Invalidity
org.billthefarmer.editor,Version_1_68,Version_1_82,2,Moved to Subpage
org.billthefarmer.editor,Version_1_51,Version_1_68,2,Moved to Another Page
org.billthefarmer.editor,Version_1_53,Version_1_73,1,Locator Invalidity
org.billthefarmer.editor,Version_1_51,Version_1_81,3,Locator Invalidity
org.billthefarmer.editor,Version_1_58,Version_1_74,1,Locator Invalidity
org.billthefarmer.editor,Version_1_73,Version_1_81,3,Moved to Another Page
org.billthefarmer.editor,Version_1_78,Version_1_82,2,Moved to Subpage
org.billthefarmer.editor,Version_1_52,Version_1_86,2,Moved to Subpage
org.billthefarmer.editor,Version_1_58,Version_1_86,2,Moved to Subpage
org.billthefarmer.editor,Version_1_52,Version_1_81,3,Moved to Subpage
org.billthefarmer.editor,Version_1_51,Version_1_78,2,Locator Invalidity
org.billthefarmer.editor,Version_1_72,Version_1_81,1,Moved to Subpage
org.billthefarmer.editor,Version_1_75,Version_1_78,1,Moved to Subpage
org.billthefarmer.editor,Version_1_54,Version_1_83,3,Locator Invalidity
org.billthefarmer.editor,Version_1_51,Version_1_52,3,Moved to Another Page
org.billthefarmer.editor,Version_1_64,Version_1_81,1,Moved to Subpage
org.billthefarmer.editor,Version_1_52,Version_1_75,2,Locator Invalidity
org.billthefarmer.editor,Version_1_65,Version_1_82,2,Moved to Subpage
org.billthefarmer.editor,Version_1_53,Version_1_68,2,Moved to Subpage
org.billthefarmer.editor,Version_1_74,Version_1_82,1,Moved to Subpage
org.billthefarmer.editor,Version_1_74,Version_1_83,3,Moved to Subpage
org.billthefarmer.editor,Version_1_61,Version_1_86,3,Moved to Subpage
org.billthefarmer.editor,Version_1_53,Version_1_81,2,Moved to Subpage
org.billthefarmer.editor,Version_1_61,Version_1_82,1,Moved to Subpage
org.billthefarmer.editor,Version_1_58,Version_1_81,1,Moved to Subpage
org.billthefarmer.editor,Version_1_72,Version_1_81,2,Moved to Subpage
org.billthefarmer.editor,Version_1_51,Version_1_68,1,Moved to Another Page
org.billthefarmer.editor,Version_1_73,Version_1_78,3,Moved to Subpage
me.tsukanov.counter,Version_31,Version_33,1,Moved to Subpage
me.tsukanov.counter,Version_29,Version_32,2,Locator Invalidity
me.tsukanov.counter,Version_29,Version_31,3,Locator Invalidity
org.michaelbel.moviemade,1_4_4,1_5_2,2,Moved to Subpage
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_3_0,Notes__Privacy_Friendly__v2_0_0,3,Locator Invalidity
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_1_0_BROKEN_RELEASE,Notes__Privacy_Friendly__v1_4_4,2,Moved to Subpage
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_4_2,Notes__Privacy_Friendly__v2_0_3,2,Locator Invalidity
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_2_2,Notes__Privacy_Friendly__v1_4_2,2,Locator Invalidity
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_2_1,Notes__Privacy_Friendly__v2_0_4,2,Locator Invalidity
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_2_2,Notes__Privacy_Friendly__v2_0_2,2,Locator Invalidity
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_4_5,Notes__Privacy_Friendly__v2_0_2,1,Widget Occlusion
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_2_1,Notes__Privacy_Friendly__v1_4_1,1,Locator Invalidity
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_2_2,Notes__Privacy_Friendly__v2_0_1,3,Locator Invalidity
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_2_5,Notes__Privacy_Friendly__v1_4_5,3,Locator Invalidity
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_2_0,Notes__Privacy_Friendly__v1_4_1,1,Moved to Subpage
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_2_1,Notes__Privacy_Friendly__v1_4_4,2,Moved to Subpage
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_4_0,Notes__Privacy_Friendly__v1_4_1,1,Widget Occlusion
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_2_3,Notes__Privacy_Friendly__v1_4_0,1,Locator Invalidity
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_2_4,Notes__Privacy_Friendly__v1_4_0,1,Locator Invalidity
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_4_5,Notes__Privacy_Friendly__v2_0_3,2,Locator Invalidity
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_4_1,Notes__Privacy_Friendly__v2_0_4,2,Locator Invalidity
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_2_1,Notes__Privacy_Friendly__v2_0_0,3,Locator Invalidity
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_4_2,Notes__Privacy_Friendly__v2_0_0,1,Widget Occlusion
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_2_4,Notes__Privacy_Friendly__v2_0_1,2,Widget Occlusion
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_2_3,Notes__Privacy_Friendly__v1_4_0,3,Moved to Subpage
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v2_0_1,Notes__Privacy_Friendly__v2_0_4,1,Locator Invalidity
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_2_5,Notes__Privacy_Friendly__v1_4_5,1,Moved to Subpage
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_4_5,Notes__Privacy_Friendly__v2_0_1,3,Widget Occlusion
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_4_0,Notes__Privacy_Friendly__v1_4_1,3,Locator Invalidity
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_4_2,Notes__Privacy_Friendly__v1_4_5,3,Locator Invalidity
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_2_2,Notes__Privacy_Friendly__v1_4_5,1,Moved to Subpage
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v2_0_2,Notes__Privacy_Friendly__v2_0_3,1,Locator Invalidity
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_3_0,Notes__Privacy_Friendly__v1_4_1,3,Locator Invalidity
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_2_2,Notes__Privacy_Friendly__v2_0_0,1,Widget Occlusion
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_0_2,Notes__Privacy_Friendly__v2_0_3,3,Widget Occlusion
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_3_0,Notes__Privacy_Friendly__v2_0_4,1,Widget Occlusion
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_4_0,Notes__Privacy_Friendly__v1_4_2,1,Moved to Another Page
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_4_0,Notes__Privacy_Friendly__v1_4_1,2,Widget Occlusion
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_3_0,Notes__Privacy_Friendly__v1_4_5,1,Locator Invalidity
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v2_0_0,Notes__Privacy_Friendly__v2_0_4,1,Locator Invalidity
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_4_4,Notes__Privacy_Friendly__v1_4_5,2,Locator Invalidity
eu.faircode.email,1_1851_Fulgurotherium,1_1964_Ledumahadi,2,Locator Invalidity
eu.faircode.email,1_1489_Jinyunpelta,1_1851_Fulgurotherium,3,Locator Invalidity
